id,prefecture,prefecture_jp,region,name,name_jp,type,address,google_maps_url,lat,lng,contact_person,contact_phone,contact_whatsapp,contact_email,donation_info,notes
tsukuba-masjid,Ibaraki,茨城県,Kanto,Tsukuba Masjid,つくばマスジド,Masjid,"4-3-8 Amakubo, Tsukuba-shi, Ibaraki 305-0005",https://maps.google.com/?q=Tsukuba+Masjid+Ibaraki,36.1035,140.1082,Tsukuba Muslim Association,+81-29-858-6150,,tsukuba.masjid@gmail.com,Joyo Bank / Yucho Bank (Tsukuba Muslim Association),Located near University of Tsukuba. Large student and researcher congregation.
isesaki-masjid,Gunma,群馬県,Kanto,Isesaki Masjid,伊勢崎マスジド,Masjid,"845-1 Tsunatori-machi, Isesaki-shi, Gunma 372-0812",https://maps.google.com/?q=Isesaki+Masjid+Gunma,36.3155,139.1834,Gunma Muslim Society,+81-270-21-9988,,info@isesakimasjid.com,Gunma Bank transfer,Serving the large community in Gunma with Halal grocery and library.
oyama-masjid,Tochigi,栃木県,Kanto,Oyama Islamic Center,小山イスラミックセンター,Masjid,"1-13-8 Hanagaki-cho, Oyama-shi, Tochigi 323-0027",https://maps.google.com/?q=Oyama+Islamic+Center+Tochigi,36.3198,139.8055,Tochigi Islamic Association,+81-285-24-3450,,oyama.mosque@gmail.com,Ashikaga Bank / Yucho,Conveniently located near Oyama Station on the Tohoku Shinkansen line.
nagoya-mosque,Aichi,愛知県,Chubu,Nagoya Mosque,名古屋モスク,Masjid,"2-26-7 Honjindori, Nakamura-ku, Nagoya, Aichi 453-0041",https://maps.google.com/?q=Nagoya+Mosque,35.1764,136.8655,Islamic Center of Nagoya,+81-52-486-2380,+81524862380,info@nagoyamosque.com,Bank of Tokyo-Mitsubishi UFJ & Yucho Bank,Nagoya's primary central mosque. Daily 5 prayers, Jummah, Dawah center.
nagoya-port-mosque,Aichi,愛知県,Chubu,Nagoya Port Mosque,名古屋港モスク,Masjid,"2-7-19 Shiomi-cho, Minato-ku, Nagoya, Aichi 455-0028",https://maps.google.com/?q=Nagoya+Port+Mosque,35.0882,136.8791,Port Mosque Committee,+81-52-654-1550,,portmosque@gmail.com,Yucho Bank transfer,Spacious mosque near Nagoya Port industrial zone. Large parking area.
hamamatsu-masjid,Shizuoka,静岡県,Chubu,Hamamatsu Mosque,浜松モスク,Masjid,"2-10-1 Sukenobucho, Chuo-ku, Hamamatsu, Shizuoka 430-0903",https://maps.google.com/?q=Hamamatsu+Mosque,34.7212,137.7423,Hamamatsu Islamic Center,+81-53-475-4340,,hamamatsu.mosque@gmail.com,Shizuoka Bank / Yucho,5 minutes from Hachiman Station. Large hall with weekly communal meals.
fuji-masjid,Shizuoka,静岡県,Chubu,Fuji Mosque,富士モスク,Masjid,"288-1 Iriyamase, Fuji-shi, Shizuoka 419-0204",https://maps.google.com/?q=Fuji+Mosque+Shizuoka,35.1950,138.6480,Fuji Muslim Association,+81-545-72-2777,,fujimosque@gmail.com,Suruga Bank / Yucho,Beautiful view of Mt. Fuji. Active local and traveler stop.
gifu-mosque,Gifu,岐阜県,Chubu,Gifu Mosque (Bab Al-Islam),岐阜モスク (バーブル・イスラーム),Masjid,"3-22-1 Furujicho, Gifu-shi, Gifu 500-8436",https://maps.google.com/?q=Gifu+Mosque,35.4012,136.7580,Nagoya Mosque Branch,+81-58-240-5201,,gifumosque@nagoyamosque.com,Yucho Bank (Gifu Muslim Association),Architecturally stunning mosque in Gifu. Peaceful courtyard and library.
yokkaichi-masjid,Mie,三重県,Kansai,Yokkaichi Islamic Center,四日市イスラミックセンター,Masjid,"4-3-12 Hinaga-higashi, Yokkaichi, Mie 510-0886",https://maps.google.com/?q=Yokkaichi+Islamic+Center,34.9452,136.6021,Mie Muslim Society,+81-59-347-9911,,yokkaichi.mosque@gmail.com,Mie Bank / Yucho,Serving Muslims in northern Mie prefecture and Ise bay area.
kyoto-islamic-center,Kyoto,京都府,Kansai,Kyoto Islamic Cultural Center,京都イスラーム文化センター,Masjid,"92 Miyagaki-cho, Kamigyo-ku, Kyoto 602-0853",https://maps.google.com/?q=Kyoto+Islamic+Cultural+Center,35.0245,135.7702,KICC Committee,+81-75-231-3499,+81752313499,kicc.kyoto@gmail.com,Kyoto Bank / Yucho Bank (Kyoto Islamic Cultural Center),Located near Kyoto Imperial Palace. English & Japanese Islamic literature.
osaka-masjid,Osaka,大阪府,Kansai,Osaka Masjid,大阪マスジド,Masjid,"4-2-13 Owada, Nishiyodogawa-ku, Osaka 555-0032",https://maps.google.com/?q=Osaka+Masjid+Nishiyodogawa,34.7088,135.4561,Osaka Muslim Association,+81-6-6475-8801,,info@osakamasjid.info,Sumitomo Mitsui Banking Corp (Osaka Masjid Account),Near Chibune Station. Halal restaurant and butcher on ground floor.
osaka-islamic-center,Osaka,大阪府,Kansai,Osaka Islamic Center (Dawah Center),大阪イスラミックセンター,Masjid,"1-14-18 Minamihorie, Nishi-ku, Osaka 550-0015",https://maps.google.com/?q=Osaka+Islamic+Center+Nishi-ku,34.6712,135.4950,OIC Staff,+81-6-6536-1218,,oic.osaka@gmail.com,Yucho Bank transfer,In vibrant Minami/Shinsaibashi area. Convenient for tourists and shoppers.
ibaraki-masjid,Osaka,大阪府,Kansai,Ibaraki Mosque (Osaka),茨木モスク,Masjid,"4-6-13 Toyokawa, Ibaraki-shi, Osaka 567-0057",https://maps.google.com/?q=Ibaraki+Mosque+Osaka,34.8395,135.5381,Ibaraki Muslim Community,+81-72-643-6400,,ibaraki.mosque@gmail.com,Resona Bank / Yucho,Near Osaka University (Suita Campus). High student congregation.
kobe-muslim-mosque,Hyogo,兵庫県,Kansai,Kobe Muslim Mosque,神戸ムスリムモスク,Masjid,"2-25-14 Nakayamatedori, Chuo-ku, Kobe, Hyogo 650-0004",https://maps.google.com/?q=Kobe+Muslim+Mosque,34.6974,135.1878,Kobe Mosque Committee,+81-78-231-4060,+81782314060,kobe.mosque@gmail.com,Sumitomo Mitsui Banking / Yucho (Kobe Muslim Mosque),First and oldest mosque built in Japan (1935). Survived WWII and 1995 Earthquake.
nara-prayer-room,Nara,奈良県,Kansai,Nara Muslim Prayer Hall,奈良ムスリム礼拝所,Prayer Room,"1-10-5 Sanjo-cho, Nara-shi, Nara 630-8244",https://maps.google.com/?q=JR+Nara+Station+Prayer+Room,34.6811,135.8198,Nara Muslim Association,+81-742-26-8811,,naramuslims@gmail.com,Donation box on premises,Near JR Nara Station. Accessible for visitors touring ancient Nara temples.
kobe-sanda-masjid,Hyogo,兵庫県,Kansai,Sanda Islamic Center,三田イスラミックセンター,Musalla,"2-8-3 Keyakidai, Sanda-shi, Hyogo 669-1321",https://maps.google.com/?q=Sanda+Islamic+Center+Hyogo,34.9011,135.1955,Sanda Muslim Group,+81-79-565-3310,,sanda.islamic@gmail.com,Yucho Bank,Serves suburban Hyogo and students of Kwansei Gakuin University.
hiroshima-masjid,Hiroshima,広島県,Chugoku,Hiroshima Islamic Cultural Center,広島イスラーム文化センター,Masjid,"2-8-14 Honkawacho, Naka-ku, Hiroshima 730-0802",https://maps.google.com/?q=Hiroshima+Islamic+Cultural+Center,34.3980,132.4512,Hiroshima Muslim Association,+81-82-293-6055,,hicc.hiroshima@gmail.com,Hiroshima Bank / Yucho,Within walking distance from Hiroshima Peace Memorial Park.
okayama-masjid,Okayama,岡山県,Chugoku,Okayama Islamic Center,岡山イスラミックセンター,Masjid,"2-1-17 Tsushima-higashi, Kita-ku, Okayama 700-0081",https://maps.google.com/?q=Okayama+Islamic+Center,34.6852,133.9185,Okayama Muslim Association,+81-86-252-8700,,info@okayamamasjid.org,Chugoku Bank / Yucho,Located next to Okayama University campus. Active community.
fukuoka-masjid,Fukuoka,福岡県,Kyushu,Fukuoka Masjid (Al-Nour Islamic Center),福岡マスジド (アンヌール・イスラム文化センター),Masjid,"3-2-18 Hakozaki, Higashi-ku, Fukuoka 812-0053",https://maps.google.com/?q=Fukuoka+Masjid+Al-Nour,33.6219,130.4264,Fukuoka Masjid Admin,+81-92-641-7022,+81926417022,info@fukuokamasjid.org,Fukuoka Bank / Yucho: Fukuoka Masjid Account,Largest mosque in Kyushu. 1 min walk from Hakozaki-Kyudaimae Station.
kumamoto-masjid,Kumamoto,熊本県,Kyushu,Kumamoto Islamic Center,熊本イスラミックセンター,Masjid,"5-8-33 Kurokami, Chuo-ku, Kumamoto 860-0862",https://maps.google.com/?q=Kumamoto+Islamic+Center,32.8162,130.7301,Kumamoto Muslim Association,+81-96-345-8120,,kumamotomasjid@gmail.com,Higo Bank / Yucho,Adjacent to Kumamoto University. Regular Friday Jummah and Quran classes.
beppu-masjid,Oita,大分県,Kyushu,Beppu Masjid (Muhammadiah Mosque),別府マスジド,Masjid,"10-19 Wakakusa-cho, Beppu, Oita 874-0925",https://maps.google.com/?q=Beppu+Masjid+Oita,33.2844,131.4982,Beppu Muslim Association,+81-977-24-9119,,beppumasjid@gmail.com,Oita Bank / Yucho,Serving multinational students at Ritsumeikan Asia Pacific University (APU).
kagoshima-masjid,Kagoshima,鹿児島県,Kyushu,Kagoshima Islamic Center,鹿児島イスラミックセンター,Musalla,"1-12-8 Kamoike, Kagoshima 890-0063",https://maps.google.com/?q=Kagoshima+Islamic+Center,31.5721,130.5489,Kagoshima Muslim Community,+81-99-251-7890,,kagoshimamuslim@gmail.com,Kagoshima Bank,Near Kagoshima University campus in central Kagoshima city.
sapporo-masjid,Hokkaido,北海道,Hokkaido,Sapporo Masjid,札幌マスジド,Masjid,"Kita 14-jo Nishi 3-chome, Kita-ku, Sapporo, Hokkaido 001-0014",https://maps.google.com/?q=Sapporo+Masjid,43.0768,141.3491,Hokkaido Islamic Society,+81-11-707-0188,,sapporo.masjid@gmail.com,North Pacific Bank (Hokuyo) / Yucho,Near Hokkaido University. Heated prayer hall for winter seasons.
otaru-masjid,Hokkaido,北海道,Hokkaido,Al-Huda Mosque Otaru,小樽モスク,Musalla,"3-10-1 Ironai, Otaru, Hokkaido 047-0031",https://maps.google.com/?q=Al-Huda+Mosque+Otaru,43.1990,140.9985,Otaru Muslim Association,+81-134-22-1100,,otaru.mosque@gmail.com,Yucho Bank,Near Otaru Canal touristic district. Welcoming domestic & foreign visitors.
sendai-masjid,Miyagi,宮城県,Tohoku,Sendai Masjid (Islamic Cultural Center of Sendai),仙台マスジド,Masjid,"7-7-24 Hachiman, Aoba-ku, Sendai, Miyagi 980-0871",https://maps.google.com/?q=Sendai+Masjid,38.2715,140.8410,ICCS Committee,+81-22-226-7288,,iccs.sendai@gmail.com,77 Bank (Shichijushichi) / Yucho,Main Islamic hub in Tohoku region near Tohoku University.
kanazawa-masjid,Ishikawa,石川県,Chubu,Kanazawa Islamic Center,金沢イスラミックセンター,Masjid,"3-14-12 Morinosato, Kanazawa, Ishikawa 920-1167",https://maps.google.com/?q=Kanazawa+Islamic+Center,36.5461,136.7022,Kanazawa Muslim Society,+81-76-261-8890,,kanazawa.islamic@gmail.com,Hokkoku Bank / Yucho,Near Kanazawa University (Kakuma Campus).
toyama-masjid,Toyama,富山県,Chubu,Toyama Muslim Center,富山ムスリムセンター,Masjid,"1234-1 Sugitani, Toyama-shi, Toyama 930-0194",https://maps.google.com/?q=Toyama+Muslim+Center,36.6850,137.1520,Toyama Muslim Association,+81-76-434-5566,,toyamamuslims@gmail.com,Hokuriku Bank / Yucho,Near University of Toyama medical campus.
niigata-masjid,Niigata,新潟県,Chubu,Niigata Mosque,新潟モスク,Masjid,"2-1-10 Gakkocho-dori, Chuo-ku, Niigata 951-8126",https://maps.google.com/?q=Niigata+Mosque,37.9150,139.0370,Niigata Muslim Association,+81-25-228-4490,,niigata.mosque@gmail.com,Daishi Hokuetsu Bank,Central location in Niigata City with weekend gatherings.
okinawa-masjid,Okinawa,沖縄県,Kyushu,Okinawa Islamic Center,沖縄イスラミックセンター,Masjid,"1-11-2 Chibana, Okinawa-shi, Okinawa 904-2143",https://maps.google.com/?q=Okinawa+Islamic+Center,26.3685,127.8152,Okinawa Muslim Society,+81-98-938-1120,,okinawamasjid@gmail.com,Bank of the Ryukyus / Yucho,Welcoming residents, travelers, and international students in Okinawa.
takamatsu-masjid,Kagawa,香川県,Shikoku,Takamatsu Mosque,高松モスク,Musalla,"1-8-12 Miyawaki-cho, Takamatsu, Kagawa 760-0005",https://maps.google.com/?q=Takamatsu+Mosque+Kagawa,34.3411,134.0382,Kagawa Muslim Association,+81-87-831-2299,,kagawa.muslim@gmail.com,Hyakujushi Bank / Yucho,Convenient prayer facility in Takamatsu City, Shikoku.
matsuyama-masjid,Ehime,愛媛県,Shikoku,Matsuyama Islamic Center,松山イスラミックセンター,Musalla,"3-5-8 Bunkyo-cho, Matsuyama, Ehime 790-0826",https://maps.google.com/?q=Matsuyama+Islamic+Center,33.8505,132.7712,Ehime Muslim Community,+81-89-927-9000,,matsuyama.islam@gmail.com,Iyo Bank / Yucho,Serving Ehime University students and local families.
tokushima-musalla,Tokushima,徳島県,Shikoku,Tokushima Muslim Musalla,徳島ムスリム礼拝所,Prayer Room,"2-1 Kuramoto-cho, Tokushima 770-8503",https://maps.google.com/?q=Tokushima+University+Hospital+Prayer+Room,34.0772,134.5298,Tokushima Muslim Club,+81-88-633-7000,,tokushimaislam@gmail.com,Donation box on-site,Near Tokushima University Kuramoto campus.
kochi-musalla,Kochi,高知県,Shikoku,Kochi Muslim Prayer Hall,高知ムスリム礼拝所,Prayer Room,"2-5-1 Akebono-cho, Kochi 780-8520",https://maps.google.com/?q=Kochi+University+Prayer+Hall,33.5480,133.4860,Kochi Muslim Students,+81-88-844-0111,,kochimuslims@gmail.com,Donation box on-site,Near Kochi University Main Campus.
nagano-masjid,Nagano,長野県,Chubu,Nagano Mosque,長野モスク,Musalla,"1-17-5 Wakasato, Nagano-shi, Nagano 380-8553",https://maps.google.com/?q=Nagano+Mosque+Wakasato,36.6310,138.1910,Nagano Muslim Group,+81-26-226-5500,,naganomosque@gmail.com,Hachijuni Bank,Close to Shinshu University Engineering Campus.
kofu-masjid,Yamanashi,山梨県,Chubu,Kofu Mosque (Yamanashi Islamic Center),甲府モスク,Musalla,"4-3-11 Takeda, Kofu-shi, Yamanashi 400-0016",https://maps.google.com/?q=Kofu+Mosque+Yamanashi,35.6780,138.5720,Yamanashi Muslim Society,+81-55-251-1188,,yamanashi.islam@gmail.com,Yamanashi Chuo Bank,Near Kofu station and Yamanashi University.
fukui-musalla,Fukui,福井県,Chubu,Fukui Muslim Prayer Room,福井ムスリム礼拝所,Prayer Room,"3-9-1 Bunkyo, Fukui-shi, Fukui 910-8507",https://maps.google.com/?q=University+of+Fukui+Prayer+Space,36.0760,136.2130,Fukui Muslim Circle,+81-776-23-0500,,fukuimuslims@gmail.com,Direct contributions,Near University of Fukui Bunkyo Campus.
yamaguchi-musalla,Yamaguchi,山口県,Chugoku,Yamaguchi Muslim Prayer Room,山口ムスリム礼拝所,Prayer Room,"1677-1 Yoshida, Yamaguchi-shi, Yamaguchi 753-8511",https://maps.google.com/?q=Yamaguchi+University+Prayer+Space,34.1500,131.4700,Yamaguchi Muslim Association,+81-83-933-5000,,yamaguchimuslims@gmail.com,On-site contribution,Near Yamaguchi University Yoshida Campus.
morioka-musalla,Iwate,岩手県,Tohoku,Morioka Muslim Prayer Space,盛岡ムスリム礼拝所,Prayer Room,"3-18-8 Ueda, Morioka, Iwate 020-8550",https://maps.google.com/?q=Iwate+University+Prayer+Space,39.7150,141.1380,Iwate Muslim Group,+81-19-621-6000,,iwatemuslims@gmail.com,On-site contribution,Near Iwate University campus in Morioka.
akita-musalla,Akita,秋田県,Tohoku,Akita Muslim Prayer Space,秋田ムスリム礼拝所,Prayer Room,"1-1 Tegata Gakuen-machi, Akita 010-8502",https://maps.google.com/?q=Akita+University+Prayer+Space,39.7280,140.1380,Akita Muslim Students,+81-18-889-2200,,akitaislam@gmail.com,On-site contribution,Near Akita University Tegata Campus.
aomori-musalla,Aomori,青森県,Tohoku,Hirosaki Islamic Center,弘前イスラムセンター,Prayer Room,"1 Bunkyo-cho, Hirosaki, Aomori 036-8560",https://maps.google.com/?q=Hirosaki+University+Prayer+Space,40.5910,140.4760,Aomori Muslim Group,+81-172-36-2111,,hirosakimuslims@gmail.com,On-site contribution,Located in Hirosaki city near Hirosaki University.
yamagata-musalla,Yamagata,山形県,Tohoku,Yamagata Muslim Prayer Room,山形ムスリム礼拝所,Prayer Room,"1-4-12 Kojirakawa-machi, Yamagata 990-8560",https://maps.google.com/?q=Yamagata+University+Prayer+Space,38.2490,140.3540,Yamagata Muslim Circle,+81-23-628-4000,,yamagatamuslims@gmail.com,On-site contribution,Near Yamagata University.
fukushima-musalla,Fukushima,福島県,Tohoku,Iwaki Islamic Cultural Center,いわきイスラム文化センター,Prayer Room,"Taira, Iwaki-shi, Fukushima 970-8026",https://maps.google.com/?q=Iwaki+Islamic+Culture+Center,37.0540,140.8920,Iwaki Muslim Association,+81-246-21-1199,,iwakimuslims@gmail.com,Toho Bank,Serving the Muslim community in southern Fukushima.
tottori-musalla,Tottori,鳥取県,Chugoku,Tottori Muslim Prayer Hall,鳥取ムスリム礼拝所,Prayer Room,"4-101 Koyama-cho Minami, Tottori 680-8550",https://maps.google.com/?q=Tottori+University+Prayer+Room,35.5150,134.1720,Tottori Muslim Students,+81-857-28-0321,,tottorimuslims@gmail.com,On-site contribution,Near Tottori University Koyama Campus.
shimane-musalla,Shimane,島根県,Chugoku,Izumo Muslim Prayer Space,出雲ムスリム礼拝所,Prayer Room,"Nishi-shinmachi, Izumo-shi, Shimane 693-0001",https://maps.google.com/?q=Izumo+City+Prayer+Space,35.3670,132.7550,Shimane Muslim Community,+81-853-20-1122,,shimanemuslims@gmail.com,On-site contribution,Serving Shimane prefecture and Izumo region.
shiga-musalla,Shiga,滋賀県,Kansai,Kusatsu Muslim Prayer Room,草津ムスリム礼拝所,Prayer Room,"1-1-1 Noji-higashi, Kusatsu, Shiga 525-8577",https://maps.google.com/?q=Ritsumeikan+BKC+Prayer+Room,34.9820,135.9630,Shiga Muslim Association,+81-77-561-2600,,shigamuslims@gmail.com,Shiga Bank / Yucho,Near Ritsumeikan University Biwako-Kusatsu Campus.
wakayama-musalla,Wakayama,和歌山県,Kansai,Wakayama Muslim Prayer Space,和歌山ムスリム礼拝所,Prayer Room,"930 Sakaedani, Wakayama 640-8510",https://maps.google.com/?q=Wakayama+University+Prayer+Space,34.2660,135.1520,Wakayama Muslim Society,+81-73-457-7000,,wakayamamuslims@gmail.com,Kiyo Bank,Near Wakayama University.
tosu-masjid,Saga,佐賀県,Kyushu,Tosu Mosque,鳥栖モスク,Musalla,"123-1 Tashiro-daizenmachi, Tosu-shi, Saga 841-0017",https://maps.google.com/?q=Tosu+Mosque+Saga,33.3760,130.5280,Saga Muslim Group,+81-942-83-2211,,tosumosque@gmail.com,Saga Bank,Close to Tosu Junction connecting Fukuoka and Saga.
nagasaki-musalla,Nagasaki,長崎県,Kyushu,Nagasaki Muslim Prayer Room,長崎ムスリム礼拝所,Prayer Room,"1-14 Bunkyo-machi, Nagasaki 852-8521",https://maps.google.com/?q=Nagasaki+University+Prayer+Space,32.7870,129.8660,Nagasaki Muslim Circle,+81-95-819-2000,,nagasakimuslims@gmail.com,Eighteenth-Shinwa Bank,Near Nagasaki University Bunkyo Campus.
miyazaki-masjid,Miyazaki,宮崎県,Kyushu,Miyazaki Islamic Cultural Center,宮崎イスラーム文化センター,Musalla,"1-1 Gakuen Kibanadai-nishi, Miyazaki 889-2192",https://maps.google.com/?q=Miyazaki+Islamic+Cultural+Center,31.8310,131.4160,Miyazaki Muslim Society,+81-985-58-1111,,miyazakimuslims@gmail.com,Miyazaki Bank,Serving Miyazaki University community and regional Muslims.
